"year"	"area"	"box"	"nest"	"date"	"nestbox"	"species"	"chick"	"nestchick"	"order"	"playback"	"file"	"recording"	"Songs.with.call"	"Songs.without.call"	"Call.bin"	"Call.prop"	"source"	"treatment"	"beg.rest"	"beg.play"	"clutch.size"	"mass"
"92"	2014	"KOL"	"15A"	"2014KOL15A"	"6.14"	"KOL15A"	"collared"	5	"2014KOL15A5"	2	"collared"	"92.014"	"collared9.2014"	4	3	"yes"	0.571428571	"sym"	"conspecific"	0	0	7	14.08333333
"94"	2014	"KOL"	"15A"	"2014KOL15A"	"6.14"	"KOL15A"	"collared"	7	"2014KOL15A7"	2	"collared"	"92.014"	"collared9.2014"	4	3	"yes"	0.571428571	"sym"	"conspecific"	0	0	7	14.08333333
"101"	2014	"KOL"	"23A"	"2014KOL23A"	"6.13"	"KOL23A"	"collared"	1	"2014KOL23A1"	1	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	7	14.68571429
"102"	2014	"KOL"	"23A"	"2014KOL23A"	"6.13"	"KOL23A"	"collared"	5	"2014KOL23A5"	1	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	1	7	14.68571429
"103"	2014	"KOL"	"23A"	"2014KOL23A"	"6.13"	"KOL23A"	"collared"	2	"2014KOL23A2"	1	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	7	14.68571429
"104"	2014	"KOL"	"23A"	"2014KOL23A"	"6.13"	"KOL23A"	"collared"	3	"2014KOL23A3"	1	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	7	14.68571429
"105"	2014	"KOL"	"23A"	"2014KOL23A"	"6.13"	"KOL23A"	"collared"	4	"2014KOL23A4"	1	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	0	7	14.68571429
"107"	2014	"KOL"	"23A"	"2014KOL23A"	"6.13"	"KOL23A"	"collared"	6	"2014KOL23A6"	1	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	0	2	7	14.68571429
"108"	2014	"KOL"	"23A"	"2014KOL23A"	"6.13"	"KOL23A"	"collared"	7	"2014KOL23A7"	1	"collared"	"52.014"	"collared5.2014"	2	7	"yes"	0.222222222	"sym"	"conspecific"	1	2	7	14.68571429
"115"	2014	"KOL"	"24A"	"2014KOL24A"	"6.11"	"KOL24A"	"collared"	4	"2014KOL24A4"	2	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	1	0	5	14.88333333
"116"	2014	"KOL"	"24A"	"2014KOL24A"	"6.11"	"KOL24A"	"collared"	1	"2014KOL24A1"	2	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	0	0	5	14.88333333
"117"	2014	"KOL"	"24A"	"2014KOL24A"	"6.11"	"KOL24A"	"collared"	2	"2014KOL24A2"	2	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	1	0	5	14.88333333
"118"	2014	"KOL"	"24A"	"2014KOL24A"	"6.11"	"KOL24A"	"collared"	3	"2014KOL24A3"	2	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	1	0	5	14.88333333
"120"	2014	"KOL"	"24A"	"2014KOL24A"	"6.11"	"KOL24A"	"collared"	5	"2014KOL24A5"	2	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	1	0	5	14.88333333
"125"	2014	"KOL"	"25"	"2014KOL25"	"6.14"	"KOL25"	"collared"	1	"2014KOL251"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	25	0	6	14.35
"126"	2014	"KOL"	"25"	"2014KOL25"	"6.14"	"KOL25"	"collared"	5	"2014KOL255"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	16	0	6	14.35
"127"	2014	"KOL"	"25"	"2014KOL25"	"6.14"	"KOL25"	"collared"	6	"2014KOL256"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	0	0	6	14.35
"134"	2014	"KOL"	"25"	"2014KOL25"	"6.14"	"KOL25"	"collared"	4	"2014KOL254"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	45	13	6	14.35
"135"	2014	"KOL"	"25"	"2014KOL25"	"6.14"	"KOL25"	"collared"	2	"2014KOL252"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	0	0	6	14.35
"136"	2014	"KOL"	"25"	"2014KOL25"	"6.14"	"KOL25"	"collared"	3	"2014KOL253"	1	"collared"	"13"	"collared13"	4	3	"yes"	0.571428571	"allo"	"conspecific"	0	0	6	14.35
"137"	2014	"KOL"	"25B"	"2014KOL25B"	"6.14"	"KOL25B"	"collared"	3	"2014KOL25B3"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	12.6
"138"	2014	"KOL"	"25B"	"2014KOL25B"	"6.14"	"KOL25B"	"collared"	4	"2014KOL25B4"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	10	7	12.6
"139"	2014	"KOL"	"25B"	"2014KOL25B"	"6.14"	"KOL25B"	"collared"	2	"2014KOL25B2"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	10	20	7	12.6
"140"	2014	"KOL"	"25B"	"2014KOL25B"	"6.14"	"KOL25B"	"collared"	7	"2014KOL25B7"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	15	20	7	12.6
"142"	2014	"KOL"	"25B"	"2014KOL25B"	"6.14"	"KOL25B"	"collared"	5	"2014KOL25B5"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	12.6
"143"	2014	"KOL"	"25B"	"2014KOL25B"	"6.14"	"KOL25B"	"collared"	6	"2014KOL25B6"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	20	7	12.6
"148"	2014	"KOL"	"25B"	"2014KOL25B"	"6.14"	"KOL25B"	"collared"	1	"2014KOL25B1"	2	"collared"	"14"	"collared14"	2	9	"yes"	0.181818182	"allo"	"conspecific"	0	0	7	12.6
"151"	2014	"KOL"	"26A"	"2014KOL26A"	"6.18"	"KOL26A"	"collared"	2	"2014KOL26A2"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	0	0	6	14.5875
"152"	2014	"KOL"	"26A"	"2014KOL26A"	"6.18"	"KOL26A"	"collared"	3	"2014KOL26A3"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	12	0	6	14.5875
"153"	2014	"KOL"	"26A"	"2014KOL26A"	"6.18"	"KOL26A"	"collared"	6	"2014KOL26A6"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	1	0	6	14.5875
"155"	2014	"KOL"	"26A"	"2014KOL26A"	"6.18"	"KOL26A"	"collared"	4	"2014KOL26A4"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	0	0	6	14.5875
"156"	2014	"KOL"	"26A"	"2014KOL26A"	"6.18"	"KOL26A"	"collared"	5	"2014KOL26A5"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	1	0	6	14.5875
"161"	2014	"KOL"	"26A"	"2014KOL26A"	"6.18"	"KOL26A"	"collared"	1	"2014KOL26A1"	2	"collared"	"82.014"	"collared8.2014"	3	4	"yes"	0.428571429	"allo"	"conspecific"	0	0	6	14.5875
"163"	2014	"KOL"	"33"	"2014KOL33"	"6.13"	"KOL33"	"collared"	2	"2014KOL332"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	0	0	5	13.08
"164"	2014	"KOL"	"33"	"2014KOL33"	"6.13"	"KOL33"	"collared"	1	"2014KOL331"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	0	0	5	13.08
"170"	2014	"KOL"	"33"	"2014KOL33"	"6.13"	"KOL33"	"collared"	3	"2014KOL333"	1	"collared"	"16"	"collared16"	6	2	"yes"	0.75	"sym"	"conspecific"	21	0	5	13.08
