"Date"	"Area"	"Box"	"Chick_ID"	"Ring"	"Tarsus"	"Mass"	"Order"	"Treatment"	"Playback_ID"	"Group_size"	"Beg_rest"	"Jump_rest"	"Gape_rest"	"Look_rest"	"Shift_rest"	"Beg_play"	"Jump_play"	"Gape_play"	"Look_play"	"Shift_play"
"88"	2019-06-15	"RYD"	"RYD_F1"	"1 line"	"DC17707"	19.3	14.7	2	"Pied"	"p3"	6	0	0	0	0	0	0	0	0	0	0
"89"	2019-06-15	"ISG"	"ISG_10"	"no dot"	"DC17674"	19.5	13.7	1	"Pied"	"p7"	5	0	0	0	0	0	0	0	0	0	0
"90"	2019-06-15	"ISG"	"ISG_10"	"1 dot"	"DC17675"	19.5	13.6	1	"Pied"	"p7"	5	1	0	0	0	0	1	0	0	1	0
"91"	2019-06-15	"ISG"	"ISG_10"	"2 dot"	"DC17673"	19.7	14.7	1	"Pied"	"p7"	5	0	0	0	0	0	4	0	1	0	0
"92"	2019-06-15	"ISG"	"ISG_10"	"3 dot"	"DC17669"	19.9	14.6	1	"Pied"	"p7"	5	0	0	1	0	0	0	0	0	0	0
"93"	2019-06-15	"ISG"	"ISG_10"	"1 line"	"DC17672"	19.7	12.8	1	"Pied"	"p7"	5	0	0	0	0	0	4	0	0	0	0
"94"	2019-06-15	"ISG"	"ISG_10"	"no dot"	"DC17674"	19.5	13.7	2	"Collared"	"c6"	5	0	0	0	0	0	0	0	0	0	0
"95"	2019-06-15	"ISG"	"ISG_10"	"1 dot"	"DC17675"	19.5	13.6	2	"Collared"	"c6"	5	1	0	0	0	0	0	0	0	0	0
"96"	2019-06-15	"ISG"	"ISG_10"	"2 dot"	"DC17673"	19.7	14.7	2	"Collared"	"c6"	5	31	4	0	1	0	16	1	1	0	0
"97"	2019-06-15	"ISG"	"ISG_10"	"3 dot"	"DC17669"	19.9	14.6	2	"Collared"	"c6"	5	18	0	0	0	0	10	0	0	1	0
"98"	2019-06-15	"ISG"	"ISG_10"	"1 line"	"DC17672"	19.7	12.8	2	"Collared"	"c6"	5	10	1	1	0	0	17	1	1	0	0
"99"	2019-06-15	"VIC"	"VIC_7"	"no dot"	"DC17762"	19.7	13.1	1	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
"100"	2019-06-15	"VIC"	"VIC_7"	"1 dot"	"DC17759"	19.7	13.2	1	"Collared"	"c9"	5	0	0	0	0	0	0	0	0	0	0
