"area"	"nestbox"	"day"	"time"	"playback_id"	"treatment"	"minute"	"minimum_distance"	"alarm"	"wing_flick"	"graded_resp"
"71"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	6	3	1	1	"4"
"72"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	7	10	1	1	"4"
"73"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	8	15	0	0	"1"
"74"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	9	40	0	0	"1"
"75"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	10	25	0	0	"1"
"76"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	11	20	0	0	"1"
"77"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	12	20	0	0	"1"
"78"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	13	40	1	0	"2"
"79"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	14	15	0	1	"2"
"80"	"VIC"	"1C"	2019-05-10	1899-12-31 07:50:00	"cc-ps-6"	"cc-ps"	15	12	0	1	"2"
"81"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	6	3	0	1	"3"
"82"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	7	0.2	0	1	"3"
"83"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	8	0.5	1	1	"4"
"84"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	9	0.5	1	1	"4"
"85"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	10	0.5	0	1	"3"
"86"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	11	0	0	1	"3"
"87"	"VIC"	"126"	2019-05-10	1899-12-31 08:40:00	"cc-cs-6"	"cc-cs"	12	5	0	0	"2"
